student_id,life_direction_meaning,college_work_resilience,campus_seen_supported,emotionally_steady,hopeful_future,clear_values,life_depth_moments,cheerful_spirits,college_growth,academic_wellbeing,biggest_challenge,school_time_energy,faculty_staff_support,people_to_turn_to,know_support_resources,focus_place,enough_sleep,parent_caregiver_support,enjoyable_company,feels_alone,phone_social_media_interference,physical_activity,alcohol_cannabis_social_coping,money_stress,study_hours_outside_class,life_priority,age_group,college_stage,gender,race_ethnicity,parent_four_year_college,college_goal,major_field,major_confidence,spring_credits,class_modality,paid_work_hours,life_direction_meaning_score,college_work_resilience_score,campus_seen_supported_score,emotionally_steady_score,hopeful_future_score,clear_values_score,life_depth_moments_score,cheerful_spirits_score,college_growth_score,academic_wellbeing_score,school_time_energy_score,faculty_staff_support_score,people_to_turn_to_score,know_support_resources_score,focus_place_score,enough_sleep_score,parent_caregiver_support_score,enjoyable_company_score,feels_alone_score,phone_social_media_interference_score,physical_activity_score,alcohol_cannabis_social_coping_score,money_stress_score,study_hours_outside_class_score,major_confidence_score,spring_credits_score,paid_work_hours_score,wellbeing_index,school_support_index
11,SA,SA,A,SA,A,A,A,SA,A,SA,Motivation,SA,SA,SA,A,SA,A,A,S,R,S,O,Nvr,Slight,under 5 hours,Friends/relations,18 or 19,Second year,Woman,East Asian,Yes,Transfer,Business,Some conf.,15 or more credits,All/mostly in-person,1 to 9 hours,5,5,4,5,4,4,4,5,4,5,5,5,5,4,5,4,4,2,1,2,3,0,1,1,4,5,1,4.5,4.57
12,A,A,N,A,N,SA,SA,N,A,SA,Work,A,N,SA,A,SA,A,SA,VO,S,VO,VO,R,Very,5 to 10 hours,Money,22 to 25,Third+,Man,Latino/Hispanic,No,Associate,STEM,Very conf.,6 to 8 credits,Equal,30 or more hours,4,4,3,4,3,5,5,3,4,5,4,3,5,4,5,4,5,4,2,4,4,1,3,2,5,2,4,3.88,4.29
13,D,N,SA,SA,N,D,A,D,SD,A,Motivation,N,N,SD,SA,A,A,D,R,O,Nvr,R,S,Slight,5 to 10 hours,Enjoy life,20 or 21,Second year,Prefer not,South Asian,No,Transfer,Social sciences,No major,15 or more credits,More in-person,10 to 19 hours,2,3,5,5,3,2,4,2,1,4,3,3,1,5,4,4,2,1,3,0,1,2,1,2,,5,2,3.25,3.14
14,A,D,N,SD,N,N,A,N,A,D,Motivation,D,D,N,D,D,SD,N,S,R,VO,R,Nvr,Mod,11 to 19 hours,School,18 or 19,First year,Woman,South Asian,Yes,Transfer,Humanities,Very conf.,15 or more credits,More in-person,1 to 9 hours,4,2,3,1,3,3,4,3,4,2,2,2,3,2,2,1,3,2,1,4,1,0,2,3,5,5,1,2.88,2.14
15,A,N,D,N,A,N,A,A,A,A,Mental stress,A,N,A,A,A,A,A,O,VO,S,,Nvr,None,5 to 10 hours,Family,18 or 19,First year,Woman,MENA,No,Associate,Health professions,Some conf.,12 to 14 credits,More online,0 hours,4,3,2,3,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,2,,0,0,2,4,4,0,3.38,3.86
16,SA,A,SA,A,SA,A,SA,D,SA,SA,Low energy,SD,SA,SA,SA,SA,SD,SA,O,R,R,S,Nvr,Slight,5 to 10 hours,School,22 to 25,Second year,Man,MENA,No,Transfer,Social sciences,Very conf.,12 to 14 credits,More online,20 to 29 hours,5,4,5,4,5,4,5,2,5,5,1,5,5,5,5,1,5,3,1,1,2,0,1,2,5,4,3,4.25,3.86
17,A,A,N,A,N,A,A,A,N,A,Mental stress,N,N,A,A,A,D,A,O,S,O,S,Nvr,None,5 to 10 hours,School,18 or 19,First year,Woman,Multiracial,Yes,Transfer,Undecided,Unsure,12 to 14 credits,Equal,0 hours,4,4,3,4,3,4,4,4,3,4,3,3,4,4,4,2,4,3,2,3,2,0,0,2,3,4,0,3.75,3.43
18,SA,A,SA,SA,SA,SA,A,SA,SA,SA,Family/care,A,SA,A,SA,SA,SA,SA,O,Nvr,S,O,Nvr,Slight,5 to 10 hours,Mental well-being,26 or older,Second year,Man,East Asian,No,Transfer,Health professions,Some conf.,12 to 14 credits,All/mostly in-person,0 hours,5,4,5,5,5,5,4,5,5,5,4,5,4,5,5,5,5,3,0,2,3,0,1,2,4,4,0,4.75,4.71
19,SA,SA,N,A,SA,SA,SA,SA,A,A,Mental stress,A,A,A,N,A,N,SA,O,S,VO,R,Nvr,None,5 to 10 hours,Money,18 or 19,First year,Woman,White,Not sure,Associate,Business,Some conf.,12 to 14 credits,All/mostly in-person,1 to 9 hours,5,5,3,4,5,5,5,5,4,4,4,4,4,3,4,3,5,3,2,4,1,0,0,2,4,4,1,4.62,3.86
20,A,SA,N,D,D,N,A,D,A,A,Mental stress,A,N,SA,SD,D,D,D,O,S,O,VO,O,Mod,5 to 10 hours,Enjoy life,18 or 19,Second year,Man,White,No,Transfer,Social sciences,Some conf.,15 or more credits,More in-person,20 to 29 hours,4,5,3,2,2,3,4,2,4,4,4,3,5,1,2,2,2,3,2,3,4,3,2,2,4,5,3,3.12,2.71
21,A,A,A,A,A,A,A,A,A,A,Family/care,A,A,A,A,A,A,NA,O,S,S,O,Nvr,None,20 or more hours,School,26 or older,First year,Woman,South Asian,No,Transfer,Health professions,Very conf.,12 to 14 credits,More online,1 to 9 hours,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,3,2,2,3,0,0,4,5,4,1,4.0,4.0
22,D,N,SA,N,N,N,N,D,D,N,Motivation,A,SA,N,A,A,A,SA,,S,O,O,Nvr,None,5 to 10 hours,Future,20 or 21,Second year,Man,East Asian,Yes,Associate,Business,Unsure,9 to 11 credits,All/mostly in-person,1 to 9 hours,2,3,5,3,3,3,3,2,2,3,4,5,3,4,4,4,5,,2,3,3,0,0,2,3,3,1,3.0,4.14
23,N,SA,A,N,A,A,SA,N,SA,A,Mental stress,D,SA,N,A,N,SD,A,S,O,VO,O,Nvr,Mod,5 to 10 hours,School,18 or 19,First year,Woman,East Asian,No,Transfer,Health professions,Some conf.,15 or more credits,All/mostly in-person,10 to 19 hours,3,5,4,3,4,4,5,3,5,4,2,5,3,4,3,1,4,2,3,4,3,0,2,2,4,5,2,3.88,3.14
24,SA,SA,SA,SA,SA,SA,,SA,SA,SA,Family/care,A,SA,SA,SA,A,A,NA,VO,Nvr,R,S,Nvr,Ext,20 or more hours,Family,26 or older,Second year,Woman,MENA,No,Transfer,Business,Unsure,9 to 11 credits,More online,0 hours,5,5,5,5,5,5,,5,5,5,4,5,5,5,4,4,,4,0,1,2,0,4,4,3,3,0,5.0,4.5
25,A,SA,A,SD,D,SD,SD,SD,A,A,Mental stress,A,SA,N,N,A,A,SD,R,VO,R,S,VO,Ext,under 5 hours,Money,20 or 21,Third+,Man,Multiracial,No,Transfer,Health professions,Some conf.,1 to 5 credits,All/mostly in-person,30 or more hours,4,5,4,1,2,1,1,1,4,4,4,5,3,3,4,4,1,1,4,1,2,4,4,1,4,1,4,2.38,3.43
26,A,A,N,A,A,A,A,SA,A,A,Motivation,A,N,SA,A,N,D,SA,O,R,VO,O,Nvr,Slight,under 5 hours,Future,20 or 21,Second year,Man,Multiracial,Yes,Transfer,Undecided,Not conf.,12 to 14 credits,All/mostly online,1 to 9 hours,4,4,3,4,4,4,4,5,4,4,4,3,5,4,3,2,5,3,1,4,3,0,1,1,1,4,1,4.0,3.71
27,A,A,N,A,A,A,N,A,A,A,Family/care,D,N,A,A,A,A,A,O,O,VO,S,Nvr,Slight,5 to 10 hours,School,18 or 19,First year,Woman,Multiracial,No,Associate,Health professions,Very conf.,15 or more credits,All/mostly in-person,20 to 29 hours,4,4,3,4,4,4,3,4,4,4,2,3,4,4,4,4,4,3,3,4,2,0,1,2,5,5,3,3.75,3.57
28,D,A,N,D,SD,A,D,D,A,A,Work,N,SD,SD,D,A,N,D,R,S,R,S,Nvr,Very,under 5 hours,Enjoy life,26 or older,Third+,Woman,Multiracial,No,Transfer,STEM,Not conf.,9 to 11 credits,More online,30 or more hours,2,4,3,2,1,4,2,2,4,4,3,1,1,2,4,3,2,1,2,1,2,0,3,1,1,3,4,2.5,2.29
29,A,SA,A,SA,D,SA,D,SA,D,SA,Teaching,SA,SA,SA,SA,SA,N,NA,R,R,VO,VO,Nvr,None,under 5 hours,School,18 or 19,First year,Man,East Asian,Yes,Transfer,STEM,Low conf.,15 or more credits,More in-person,0 hours,4,5,4,5,2,5,2,5,2,5,5,5,5,5,5,3,,1,1,4,4,0,0,1,2,5,0,4.0,4.67
30,A,A,SA,N,A,A,SA,A,SA,SA,Motivation,A,A,A,A,SA,D,N,VO,S,O,S,Nvr,Slight,5 to 10 hours,Friends/relations,18 or 19,First year,Man,Latino/Hispanic,No,Transfer,Health professions,Some conf.,12 to 14 credits,All/mostly in-person,0 hours,4,4,5,3,4,4,5,4,5,5,4,4,4,4,5,2,3,4,2,3,2,0,1,2,4,4,0,4.12,3.71
31,A,SA,SA,A,SA,A,SA,A,A,A,Nothing,SA,SA,SA,N,A,SA,SA,VO,R,O,VO,Nvr,Mod,5 to 10 hours,Enjoy life,20 or 21,Second year,Man,White,Yes,Transfer,STEM,Some conf.,15 or more credits,More in-person,0 hours,4,5,5,4,5,4,5,4,4,4,5,5,5,3,4,5,5,4,1,3,4,0,2,2,4,5,0,4.5,4.57
32,SA,N,N,D,N,A,A,D,A,SA,Motivation,N,A,A,A,SA,SD,N,O,S,S,R,Nvr,Mod,5 to 10 hours,Money,22 to 25,Third+,Nonbinary,Multiracial,No,Transfer,Social sciences,Very conf.,6 to 8 credits,Equal,20 to 29 hours,5,3,3,2,3,4,4,2,4,5,3,4,4,4,5,1,3,3,2,2,1,0,2,2,5,2,3,3.25,3.43
33,A,A,SA,A,A,N,D,A,N,A,Mental stress,A,SA,SA,SA,SA,A,SA,O,S,O,Nvr,VO,Very,5 to 10 hours,School,20 or 21,First year,Woman,White,No,Transfer,Business,Some conf.,15 or more credits,All/mostly in-person,0 hours,4,4,5,4,4,3,2,4,3,4,4,5,5,5,5,4,5,3,2,3,0,4,3,2,4,5,0,3.75,4.71
34,A,A,N,A,A,A,N,N,A,A,Teaching,A,A,SA,A,A,N,SA,R,R,S,R,Nvr,Slight,under 5 hours,Mental well-being,26 or older,Second year,Woman,Latino/Hispanic,No,Associate,Health professions,Very conf.,6 to 8 credits,More in-person,30 or more hours,4,4,3,4,4,4,3,3,4,4,4,4,5,4,4,3,5,1,1,2,1,0,1,1,5,2,4,3.62,4.14
35,N,N,A,A,D,A,A,A,A,A,Mental stress,A,A,A,N,A,D,A,O,S,O,S,Nvr,Very,5 to 10 hours,Money,20 or 21,Third+,Woman,East Asian,Yes,Transfer,Business,Some conf.,12 to 14 credits,All/mostly in-person,1 to 9 hours,3,3,4,4,2,4,4,4,4,4,4,4,4,3,4,2,4,3,2,3,2,0,3,2,4,4,1,3.5,3.57
36,A,A,A,D,A,N,A,A,N,A,Work,A,A,SA,D,SA,D,A,VO,R,S,VO,O,Slight,11 to 19 hours,School,26 or older,Second year,Man,White,No,Associate,Humanities,Some conf.,6 to 8 credits,All/mostly in-person,0 hours,4,4,4,2,4,3,4,4,3,4,4,4,5,2,5,2,4,4,1,2,4,3,1,3,4,2,0,3.62,3.71
37,A,A,A,N,A,SA,A,D,A,N,Mental stress,A,N,N,A,N,SD,A,S,S,O,VO,Nvr,Mod,5 to 10 hours,School,18 or 19,First year,Man,East Asian,Yes,Transfer,Health professions,Some conf.,12 to 14 credits,All/mostly in-person,10 to 19 hours,4,4,4,3,4,5,4,2,4,3,4,3,3,4,3,1,4,2,2,3,4,0,2,2,4,4,2,3.75,3.14
38,A,A,A,A,A,N,A,N,SA,A,Mental stress,SA,A,SA,A,SA,A,SA,O,S,VO,VO,O,Very,11 to 19 hours,Friends/relations,18 or 19,First year,Man,East Asian,Yes,Transfer,,Unsure,15 or more credits,All/mostly in-person,0 hours,4,4,4,4,4,3,4,3,5,4,5,4,5,4,5,4,5,3,2,4,4,3,3,3,3,5,0,3.75,4.57
39,N,A,A,SA,N,N,A,N,A,N,Not prepared,A,D,A,A,N,N,SA,O,S,O,S,Nvr,Mod,5 to 10 hours,School,18 or 19,First year,Woman,Latino/Hispanic,No,Transfer,Health professions,Unsure,12 to 14 credits,All/mostly in-person,20 to 29 hours,3,4,4,5,3,3,4,3,4,3,4,2,4,4,3,3,5,3,2,3,2,0,2,2,3,4,3,3.62,3.57
40,N,SA,A,N,A,SA,N,A,N,A,Mental stress,D,SA,SA,SA,SA,SD,A,VO,O,VO,O,S,Ext,5 to 10 hours,Money,22 to 25,Second year,Man,East Asian,Not sure,Transfer,STEM,Some conf.,9 to 11 credits,All/mostly in-person,30 or more hours,3,5,4,3,4,5,3,4,3,4,2,5,5,5,5,1,4,4,3,4,3,2,4,2,4,3,4,3.88,3.86
41,SD,A,SA,N,A,SD,N,D,N,A,Motivation,A,SA,A,A,A,N,SA,O,R,O,O,S,Mod,under 5 hours,Money,18 or 19,First year,Woman,Latino/Hispanic,No,Transfer,Social sciences,Very conf.,15 or more credits,All/mostly in-person,20 to 29 hours,1,4,5,3,4,1,3,2,3,4,4,5,4,4,4,3,5,3,1,3,3,2,2,1,5,5,3,2.88,4.14
42,A,N,D,N,A,N,N,A,D,N,Not prepared,A,N,N,A,A,D,A,O,S,VO,R,S,Mod,under 5 hours,Money,18 or 19,First year,Woman,Multiracial,Yes,Transfer,Business,Some conf.,15 or more credits,More in-person,20 to 29 hours,4,3,2,3,4,3,3,4,2,3,4,3,3,4,4,2,4,3,2,4,1,2,2,1,4,5,3,3.25,3.43
43,A,N,N,A,A,D,A,A,A,A,Work,D,N,N,A,D,D,SD,O,O,S,S,S,Ext,20 or more hours,Money,20 or 21,First year,Woman,Pacific Islander,No,Transfer,Social sciences,Some conf.,15 or more credits,All/mostly online,20 to 29 hours,4,3,3,4,4,2,4,4,4,4,2,3,3,4,2,2,1,3,3,2,2,2,4,4,4,5,3,3.5,2.43
44,A,A,A,A,SA,N,A,A,A,SA,Not prepared,SA,A,SA,A,SA,SA,A,VO,Nvr,S,R,Prefer not,Slight,under 5 hours,School,20 or 21,First year,Woman,South Asian,Yes,Transfer,Social sciences,Very conf.,6 to 8 credits,All/mostly in-person,0 hours,4,4,4,4,5,3,4,4,4,5,5,4,5,4,5,5,4,4,0,2,1,,1,1,5,2,0,4.0,4.57
45,SA,A,A,N,SA,SA,A,N,SA,N,Mental stress,N,N,SA,N,A,N,A,VO,R,O,S,S,Ext,5 to 10 hours,Enjoy life,18 or 19,First year,Woman,East Asian,No,Transfer,Health professions,Some conf.,12 to 14 credits,More online,10 to 19 hours,5,4,4,3,5,5,4,3,5,3,3,3,5,3,4,3,4,4,1,3,2,2,4,2,4,4,2,4.12,3.57
46,SA,A,N,N,SA,SA,A,A,N,A,Motivation,N,A,A,D,D,SA,A,O,S,S,VO,O,Slight,5 to 10 hours,Money,22 to 25,First year,Woman,East Asian,Yes,Transfer,STEM,Some conf.,15 or more credits,Equal,20 to 29 hours,5,4,3,3,5,5,4,4,3,4,3,4,4,2,2,5,4,3,2,2,4,3,1,2,4,5,3,4.12,3.43
47,A,A,A,,A,A,A,A,A,A,Motivation,A,A,A,SA,A,D,SA,O,R,S,O,R,Slight,5 to 10 hours,Money,18 or 19,First year,Woman,Latino/Hispanic,No,Transfer,Social sciences,Some conf.,15 or more credits,All/mostly in-person,20 to 29 hours,4,4,4,,4,4,4,4,4,4,4,4,4,5,4,2,5,3,1,2,3,1,1,2,4,5,3,4.0,4.0
48,A,A,A,A,A,A,A,A,A,A,Motivation,N,D,SA,A,A,D,SD,VO,R,S,VO,Nvr,Slight,11 to 19 hours,Enjoy life,Prefer not,First year,Man,Latino/Hispanic,No,Transfer,Business,Very conf.,12 to 14 credits,Equal,30 or more hours,4,4,4,4,4,4,4,4,4,4,3,2,5,4,4,2,1,4,1,2,4,0,1,3,5,4,4,4.0,3.0
49,N,A,N,A,SA,A,N,N,N,A,Motivation,N,SA,SA,SA,A,A,SA,VO,S,O,O,Nvr,Slight,11 to 19 hours,Friends/relations,18 or 19,Third+,Man,South Asian,Yes,Transfer,STEM,Very conf.,15 or more credits,More in-person,0 hours,3,4,3,4,5,4,3,3,3,4,3,5,5,5,4,4,5,4,2,3,3,0,1,3,5,5,0,3.62,4.43
50,N,D,A,N,N,N,N,N,N,SD,Motivation,N,SA,A,A,A,SD,N,S,R,VO,Nvr,Nvr,Slight,under 5 hours,School,20 or 21,Third+,Woman,East Asian,No,Transfer,STEM,Some conf.,12 to 14 credits,All/mostly in-person,1 to 9 hours,3,2,4,3,3,3,3,3,3,1,3,5,4,4,4,1,3,2,1,4,0,0,1,1,4,4,1,3.0,3.43
51,SA,SA,A,A,SA,SA,SA,A,SA,A,Motivation,A,SA,SA,A,A,A,SA,VO,S,O,O,Nvr,Mod,5 to 10 hours,School,18 or 19,First year,Man,MENA,Yes,Transfer,Business,Very conf.,9 to 11 credits,All/mostly in-person,0 hours,5,5,4,4,5,5,5,4,5,4,4,5,5,4,4,4,5,4,2,3,3,0,2,2,5,3,0,4.62,4.43
52,A,A,N,N,A,A,A,D,A,A,Low energy,N,N,N,A,N,D,D,O,S,R,R,Nvr,Very,5 to 10 hours,Future,26 or older,Prefer not,Woman,East Asian,Yes,Transfer,STEM,Low conf.,12 to 14 credits,All/mostly in-person,0 hours,4,4,3,3,4,4,4,2,4,4,3,3,3,4,3,2,2,3,2,1,1,0,3,2,2,4,0,3.5,2.86
53,A,SA,A,N,A,A,A,A,A,A,Mental stress,D,A,N,D,N,N,SA,S,S,R,S,Nvr,Very,under 5 hours,Enjoy life,26 or older,First year,Woman,East Asian,Yes,Associate,Health professions,Low conf.,12 to 14 credits,More in-person,0 hours,4,5,4,3,4,4,4,4,4,4,2,4,3,2,3,3,5,2,2,1,2,0,3,1,2,4,0,4.0,3.14
54,A,A,A,A,A,A,A,A,A,A,Low energy,A,SA,A,A,A,A,A,O,S,O,VO,O,Very,5 to 10 hours,Money,26 or older,Second year,Man,Black/African Am.,Not sure,Transfer,STEM,Very conf.,12 to 14 credits,All/mostly in-person,1 to 9 hours,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,3,2,3,4,3,3,2,5,4,1,4.0,4.14
55,A,A,A,A,D,D,A,A,N,A,Motivation,A,A,A,A,A,A,A,O,R,O,O,R,Very,5 to 10 hours,Future,22 to 25,First year,Man,East Asian,No,Transfer,STEM,Some conf.,12 to 14 credits,Equal,0 hours,4,4,4,4,2,2,4,4,3,4,4,4,4,4,4,4,4,3,1,3,3,1,3,2,4,4,0,3.5,4.0
56,A,A,A,A,A,SA,A,A,A,N,Motivation,A,A,A,N,A,D,N,O,R,S,S,R,Prefer not,11 to 19 hours,Future,18 or 19,Second year,Woman,East Asian,No,Transfer,Business,Some conf.,15 or more credits,More online,10 to 19 hours,4,4,4,4,4,5,4,4,4,3,4,4,4,3,4,2,3,3,1,2,2,1,,3,4,5,2,4.12,3.43
57,A,A,N,A,A,A,A,A,N,A,Motivation,A,N,A,A,A,A,A,O,R,S,S,Nvr,None,5 to 10 hours,Mental well-being,20 or 21,Second year,Woman,East Asian,Yes,Transfer,Business,Some conf.,12 to 14 credits,Equal,1 to 9 hours,4,4,3,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,1,2,2,0,0,2,4,4,1,3.88,3.86
58,A,N,N,A,A,N,D,D,D,A,Low energy,SD,SA,A,A,D,SD,A,R,S,VO,O,Nvr,Slight,20 or more hours,School,18 or 19,First year,Man,South Asian,Not sure,Transfer,STEM,Very conf.,15 or more credits,Equal,0 hours,4,3,3,4,4,3,2,2,2,4,1,5,4,4,2,1,4,1,2,4,3,0,1,4,5,5,0,3.12,3.0
59,A,A,N,A,N,N,N,D,SA,A,Motivation,A,SA,N,D,SA,A,A,S,VO,VO,VO,Nvr,None,5 to 10 hours,School,17 or younger,Second year,Prefer not,East Asian,Yes,Transfer,Business,Not conf.,15 or more credits,Equal,1 to 9 hours,4,4,3,4,3,3,3,2,5,4,4,5,3,2,5,4,4,2,4,4,4,0,0,2,1,5,1,3.25,3.86
60,A,D,SA,A,A,A,A,A,A,A,Motivation,A,SA,A,A,N,D,A,S,S,VO,S,O,Mod,under 5 hours,Enjoy life,20 or 21,Second year,Woman,East Asian,Yes,Transfer,STEM,Some conf.,15 or more credits,All/mostly in-person,10 to 19 hours,4,2,5,4,4,4,4,4,4,4,4,5,4,4,3,2,4,2,2,4,2,3,2,1,4,5,2,3.88,3.71
61,A,SA,N,A,A,A,A,A,A,A,Motivation,A,N,SA,A,SA,A,SA,VO,S,O,O,Nvr,Mod,5 to 10 hours,School,18 or 19,First year,Man,Multiracial,Yes,Other,Humanities,Some conf.,12 to 14 credits,Equal,1 to 9 hours,4,5,3,4,4,4,4,4,4,4,4,3,5,4,5,4,5,4,2,3,3,0,2,2,4,4,1,4.0,4.29
62,A,A,A,A,D,D,A,A,A,D,Motivation,SD,SA,A,SA,A,SD,N,S,S,S,S,R,Ext,20 or more hours,Other,20 or 21,Third+,Woman,East Asian,Yes,Transfer,Business,Unsure,15 or more credits,Equal,0 hours,4,4,4,4,2,2,4,4,4,2,1,5,4,5,4,1,3,2,2,2,2,1,4,4,3,5,0,3.5,3.29
63,A,D,A,D,D,A,A,SD,A,N,Mental stress,A,N,SA,A,A,A,SA,VO,S,O,S,O,Slight,5 to 10 hours,Future,18 or 19,Second year,Man,South Asian,Yes,Transfer,Social sciences,Some conf.,9 to 11 credits,More in-person,0 hours,4,2,4,2,2,4,4,1,4,3,4,3,5,4,4,4,5,4,2,3,2,3,1,2,4,3,0,2.88,4.14
64,A,A,N,A,N,A,A,N,A,A,Family/care,N,A,A,A,A,D,A,S,O,S,S,Nvr,Slight,11 to 19 hours,Family,26 or older,First year,Woman,East Asian,No,Associate,Health professions,Some conf.,9 to 11 credits,All/mostly in-person,0 hours,4,4,3,4,3,4,4,3,4,4,3,4,4,4,4,2,4,2,3,2,2,0,1,3,4,3,0,3.62,3.57
65,A,A,A,N,SA,SA,A,N,A,SA,Motivation,SA,SA,A,A,SA,SD,A,O,S,VO,R,Nvr,Slight,5 to 10 hours,Other,18 or 19,First year,Man,East Asian,No,Transfer,Social sciences,Very conf.,15 or more credits,More in-person,0 hours,4,4,4,3,5,5,4,3,4,5,5,5,4,4,5,1,4,3,2,4,1,0,1,2,5,5,0,4.0,4.0
66,A,D,N,N,N,A,A,A,N,N,Not prepared,D,N,A,A,N,D,SA,O,O,O,O,Nvr,Slight,5 to 10 hours,School,18 or 19,First year,Woman,South Asian,Yes,Undecided,Business,Some conf.,12 to 14 credits,Equal,1 to 9 hours,4,2,3,3,3,4,4,4,3,3,2,3,4,4,3,2,5,3,3,3,3,0,1,2,4,4,1,3.38,3.29
