student_id,life_direction_meaning,college_work_resilience,campus_seen_supported,emotionally_steady,hopeful_future,clear_values,life_depth_moments,cheerful_spirits,college_growth,academic_wellbeing,biggest_challenge,biggest_challenge_other_text,school_time_energy,faculty_staff_support,people_to_turn_to,know_support_resources,focus_place,enough_sleep,parent_caregiver_support,enjoyable_company,feels_alone,phone_social_media_interference,physical_activity,alcohol_cannabis_social_coping,money_stress,study_hours_outside_class,life_priority,life_priority_other_text,age_group,college_stage,gender,gender_other_text,race_ethnicity,race_ethnicity_other_text,parent_four_year_college,college_goal,college_goal_other_text,major_field,major_field_other_text,major_confidence,spring_credits,class_modality,paid_work_hours,life_direction_meaning_score,college_work_resilience_score,campus_seen_supported_score,emotionally_steady_score,hopeful_future_score,clear_values_score,life_depth_moments_score,cheerful_spirits_score,college_growth_score,academic_wellbeing_score,school_time_energy_score,faculty_staff_support_score,people_to_turn_to_score,know_support_resources_score,focus_place_score,enough_sleep_score,parent_caregiver_support_score,enjoyable_company_score,feels_alone_score,phone_social_media_interference_score,physical_activity_score,alcohol_cannabis_social_coping_score,money_stress_score,study_hours_outside_class_score,major_confidence_score,spring_credits_score,paid_work_hours_score,wellbeing_index,school_support_index
11,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Motivation/discipline,,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Sometimes,Rarely,Sometimes,Often,Never,Slight,<5 hours,Friendships or relationships,,18-19,Second year,Woman,,East Asian,,Yes,Transfer,,Business,,Somewhat confident,15+ credits,All/mostly in-person,1-9 hours,5,5,4,5,4,4,4,5,4,5,5,5,5,4,5,4,4,2,1,2,3,0,1,1,4,5,1,4.5,4.57
12,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Work responsibilities,,Agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Very often,Sometimes,Very often,Very often,Rarely,Very,5-10 hours,Financial stability,,22-25,Third year or beyond,Man,,Latino/Hispanic,,No,Associate degree,,STEM,,Very confident,6-8 credits,About equal,30+ hours,4,4,3,4,3,5,5,3,4,5,4,3,5,4,5,4,5,4,2,4,4,1,3,2,5,2,4,4.0,4.29
13,Disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree,Agree,Disagree,Strongly disagree,Agree,Motivation/discipline,,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Agree,Agree,Disagree,Rarely,Often,Never,Rarely,Sometimes,Slight,5-10 hours,Enjoying life,,20-21,Second year,Prefer not to say,,South Asian,,No,Transfer,,Social sciences,,No major chosen,15+ credits,More in-person,10-19 hours,2,3,5,5,3,2,4,2,1,4,3,3,1,5,4,4,2,1,3,0,1,2,1,2,,5,2,3.1,3.14
14,Agree,Disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Motivation/discipline,,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Sometimes,Rarely,Very often,Rarely,Never,Moderate,11-19 hours,Doing well in school,,18-19,First year,Woman,,South Asian,,Yes,Transfer,,Humanities,,Very confident,15+ credits,More in-person,1-9 hours,4,2,3,1,3,3,4,3,4,2,2,2,3,2,2,1,3,2,1,4,1,0,2,3,5,5,1,2.9,2.14
15,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Mental health/emotional stress,,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Often,Very often,Sometimes,,Never,Not at all,5-10 hours,Family responsibilities,,18-19,First year,Woman,,Middle Eastern/North African,,No,Associate degree,,Health professions,,Somewhat confident,12-14 credits,More online,0 hours,4,3,2,3,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,2,,0,0,2,4,4,0,3.5,3.86
16,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Physical health/low energy,,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Often,Rarely,Rarely,Sometimes,Never,Slight,5-10 hours,Doing well in school,,22-25,Second year,Man,,Middle Eastern/North African,,No,Transfer,,Social sciences,,Very confident,12-14 credits,More online,20-29 hours,5,4,5,4,5,4,5,2,5,5,1,5,5,5,5,1,5,3,1,1,2,0,1,2,5,4,3,4.4,3.86
17,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Mental health/emotional stress,,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Agree,Often,Sometimes,Often,Sometimes,Never,Not at all,5-10 hours,Doing well in school,,18-19,First year,Woman,,Multiracial,,Yes,Transfer,,Undecided,,Unsure,12-14 credits,About equal,0 hours,4,4,3,4,3,4,4,4,3,4,3,3,4,4,4,2,4,3,2,3,2,0,0,2,3,4,0,3.7,3.43
18,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Family/caregiving responsibilities,,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Often,Never,Sometimes,Often,Never,Slight,5-10 hours,Mental/emotional well-being,,26 or older,Second year,Man,,East Asian,,No,Transfer,,Health professions,,Somewhat confident,12-14 credits,All/mostly in-person,0 hours,5,4,5,5,5,5,4,5,5,5,4,5,4,5,5,5,5,3,0,2,3,0,1,2,4,4,0,4.8,4.71
19,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Mental health/emotional stress,,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Often,Sometimes,Very often,Rarely,Never,Not at all,5-10 hours,Financial stability,,18-19,First year,Woman,,White,,Not sure,Associate degree,,Business,,Somewhat confident,12-14 credits,All/mostly in-person,1-9 hours,5,5,3,4,5,5,5,5,4,4,4,4,4,3,4,3,5,3,2,4,1,0,0,2,4,4,1,4.5,3.86
20,Agree,Strongly agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Mental health/emotional stress,,Agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Disagree,Disagree,Disagree,Often,Sometimes,Often,Very often,Often,Moderate,5-10 hours,Enjoying life,,18-19,Second year,Man,,White,,No,Transfer,,Social sciences,,Somewhat confident,15+ credits,More in-person,20-29 hours,4,5,3,2,2,3,4,2,4,4,4,3,5,1,2,2,2,3,2,3,4,3,2,2,4,5,3,3.3,2.71
21,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Family/caregiving responsibilities,,Agree,Agree,Agree,Agree,Agree,Agree,Not applicable,Often,Sometimes,Sometimes,Often,Never,Not at all,20+ hours,Doing well in school,,26 or older,First year,Woman,,South Asian,,No,Transfer,,Health professions,,Very confident,12-14 credits,More online,1-9 hours,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,3,2,2,3,0,0,4,5,4,1,4.0,4.0
22,Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Motivation/discipline,,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,,Sometimes,Often,Often,Never,Not at all,5-10 hours,Figuring out my future,,20-21,Second year,Man,,Southeast Asian,,Yes,Associate degree,,Business,,Unsure,9-11 credits,All/mostly in-person,1-9 hours,2,3,5,3,3,3,3,2,2,3,4,5,3,4,4,4,5,,2,3,3,0,0,2,3,3,1,2.9,4.14
23,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Mental health/emotional stress,,Disagree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,Agree,Sometimes,Often,Very often,Often,Never,Moderate,5-10 hours,Doing well in school,,18-19,First year,Woman,,Southeast Asian,,No,Transfer,,Health professions,,Somewhat confident,15+ credits,All/mostly in-person,10-19 hours,3,5,4,3,4,4,5,3,5,4,2,5,3,4,3,1,4,2,3,4,3,0,2,2,4,5,2,4.0,3.14
24,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,Family/caregiving responsibilities,,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Not applicable,Very often,Never,Rarely,Sometimes,Never,Extreme,20+ hours,Family responsibilities,,26 or older,Second year,Woman,,Middle Eastern/North African,,No,Transfer,,Business,,Unsure,9-11 credits,More online,0 hours,5,5,5,5,5,5,,5,5,5,4,5,5,5,4,4,,4,0,1,2,0,4,4,3,3,0,5.0,4.5
25,Agree,Strongly agree,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Mental health/emotional stress,,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly disagree,Rarely,Very often,Rarely,Sometimes,Very often,Extreme,<5 hours,Financial stability,,20-21,Third year or beyond,Man,,Multiracial,,No,Transfer,,Health professions,,Somewhat confident,1-5 credits,All/mostly in-person,30+ hours,4,5,4,1,2,1,1,1,4,4,4,5,3,3,4,4,1,1,4,1,2,4,4,1,4,1,4,2.7,3.43
26,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Motivation/discipline,,Agree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Disagree,Strongly agree,Often,Rarely,Very often,Often,Never,Slight,<5 hours,Figuring out my future,,20-21,Second year,Man,,Multiracial,,Yes,Transfer,,Undecided,,Not confident at all,12-14 credits,All/mostly online,1-9 hours,4,4,3,4,4,4,4,5,4,4,4,3,5,4,3,2,5,3,1,4,3,0,1,1,1,4,1,4.0,3.71
27,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Family/caregiving responsibilities,,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Often,Often,Very often,Sometimes,Never,Slight,5-10 hours,Doing well in school,,18-19,First year,Woman,,Multiracial,,No,Associate degree,,Health professions,,Very confident,15+ credits,All/mostly in-person,20-29 hours,4,4,3,4,4,4,3,4,4,4,2,3,4,4,4,4,4,3,3,4,2,0,1,2,5,5,3,3.8,3.57
28,Disagree,Agree,Neither agree nor disagree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Agree,Agree,Other,"Its a combination of things work, money, stress,fatigue I am a good student but feels like im droning away and never have rime for anything but school work and bills",Neither agree nor disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Rarely,Sometimes,Rarely,Sometimes,Never,Very,<5 hours,Enjoying life,,26 or older,Third year or beyond,Woman,,Multiracial,,No,Transfer,,STEM,,Not confident at all,9-11 credits,More online,30+ hours,2,4,3,2,1,4,2,2,4,4,3,1,1,2,4,3,2,1,2,1,2,0,3,1,1,3,4,2.8,2.29
29,Agree,Strongly agree,Agree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Teaching style/quality,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Not applicable,Rarely,Rarely,Very often,Very often,Never,Not at all,<5 hours,Doing well in school,,18-19,First year,Man,,East Asian,,Yes,Transfer,,STEM,,Not very confident,15+ credits,More in-person,0 hours,4,5,4,5,2,5,2,5,2,5,5,5,5,5,5,3,,1,1,4,4,0,0,1,2,5,0,3.9,4.67
30,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Motivation/discipline,,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Neither agree nor disagree,Very often,Sometimes,Often,Sometimes,Never,Slight,5-10 hours,Friendships or relationships,,18-19,First year,Man,,Latino/Hispanic,,No,Transfer,,Health professions,,Somewhat confident,12-14 credits,All/mostly in-person,0 hours,4,4,5,3,4,4,5,4,5,5,4,4,4,4,5,2,3,4,2,3,2,0,1,2,4,4,0,4.3,3.71
31,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Nothing holding me back,,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Very often,Rarely,Often,Very often,Never,Moderate,5-10 hours,Enjoying life,,20-21,Second year,Man,,White,,Yes,Transfer,,STEM,,Somewhat confident,15+ credits,More in-person,0 hours,4,5,5,4,5,4,5,4,4,4,5,5,5,3,4,5,5,4,1,3,4,0,2,2,4,5,0,4.4,4.57
32,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Strongly agree,Motivation/discipline,,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Often,Sometimes,Sometimes,Rarely,Never,Moderate,5-10 hours,Financial stability,,22-25,Third year or beyond,Nonbinary,,Multiracial,,No,Transfer,,Social sciences,,Very confident,6-8 credits,About equal,20-29 hours,5,3,3,2,3,4,4,2,4,5,3,4,4,4,5,1,3,3,2,2,1,0,2,2,5,2,3,3.5,3.43
33,Agree,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Mental health/emotional stress,,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Often,Sometimes,Often,Never,Very often,Very,5-10 hours,Doing well in school,,20-21,First year,Woman,,White,,No,Transfer,,Business,,Somewhat confident,15+ credits,All/mostly in-person,0 hours,4,4,5,4,4,3,2,4,3,4,4,5,5,5,5,4,5,3,2,3,0,4,3,2,4,5,0,3.7,4.71
34,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Teaching style/quality,,Agree,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Rarely,Rarely,Sometimes,Rarely,Never,Slight,<5 hours,Mental/emotional well-being,,26 or older,Second year,Woman,,Latino/Hispanic,,No,Associate degree,,Health professions,,Very confident,6-8 credits,More in-person,30+ hours,4,4,3,4,4,4,3,3,4,4,4,4,5,4,4,3,5,1,1,2,1,0,1,1,5,2,4,3.7,4.14
35,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Mental health/emotional stress,,Agree,Agree,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Often,Sometimes,Often,Sometimes,Never,Very,5-10 hours,Financial stability,,20-21,Third year or beyond,Woman,,East Asian,,Yes,Transfer,,Business,,Somewhat confident,12-14 credits,All/mostly in-person,1-9 hours,3,3,4,4,2,4,4,4,4,4,4,4,4,3,4,2,4,3,2,3,2,0,3,2,4,4,1,3.6,3.57
36,Agree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Work responsibilities,,Agree,Agree,Strongly agree,Disagree,Strongly agree,Disagree,Agree,Very often,Rarely,Sometimes,Very often,Often,Slight,11-19 hours,Doing well in school,,26 or older,Second year,Man,,White,,No,Associate degree,,Humanities,,Somewhat confident,6-8 credits,All/mostly in-person,0 hours,4,4,4,2,4,3,4,4,3,4,4,4,5,2,5,2,4,4,1,2,4,3,1,3,4,2,0,3.6,3.71
37,Agree,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Disagree,Agree,Neither agree nor disagree,Mental health/emotional stress,,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,Agree,Sometimes,Sometimes,Often,Very often,Never,Moderate,5-10 hours,Doing well in school,,18-19,First year,Man,,Southeast Asian,,Yes,Transfer,,Health professions,,Somewhat confident,12-14 credits,All/mostly in-person,10-19 hours,4,4,4,3,4,5,4,2,4,3,4,3,3,4,3,1,4,2,2,3,4,0,2,2,4,4,2,3.7,3.14
38,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Agree,Mental health/emotional stress,,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Often,Sometimes,Very often,Very often,Often,Very,11-19 hours,Friendships or relationships,,18-19,First year,Man,,East Asian,,Yes,Transfer,,,,Unsure,15+ credits,All/mostly in-person,0 hours,4,4,4,4,4,3,4,3,5,4,5,4,5,4,5,4,5,3,2,4,4,3,3,3,3,5,0,3.9,4.57
39,Neither agree nor disagree,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Not prepared for college-level work,,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Often,Sometimes,Often,Sometimes,Never,Moderate,5-10 hours,Doing well in school,,18-19,First year,Woman,,Latino/Hispanic,,No,Transfer,,Health professions,,Unsure,12-14 credits,All/mostly in-person,20-29 hours,3,4,4,5,3,3,4,3,4,3,4,2,4,4,3,3,5,3,2,3,2,0,2,2,3,4,3,3.6,3.57
40,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Mental health/emotional stress,,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Very often,Often,Very often,Often,Sometimes,Extreme,5-10 hours,Financial stability,,22-25,Second year,Man,,Southeast Asian,,Not sure,Transfer,,STEM,,Somewhat confident,9-11 credits,All/mostly in-person,30+ hours,3,5,4,3,4,5,3,4,3,4,2,5,5,5,5,1,4,4,3,4,3,2,4,2,4,3,4,3.8,3.86
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Strongly disagree,Agree,Strongly agree,Neither agree nor disagree,Agree,Strongly disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Motivation/discipline,,Agree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Often,Rarely,Often,Often,Sometimes,Moderate,<5 hours,Financial stability,,18-19,First year,Woman,,Latino/Hispanic,,No,Transfer,,Social sciences,,Very confident,15+ credits,All/mostly in-person,20-29 hours,1,4,5,3,4,1,3,2,3,4,4,5,4,4,4,3,5,3,1,3,3,2,2,1,5,5,3,3.0,4.14
43,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Not prepared for college-level work,,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Often,Sometimes,Very often,Rarely,Sometimes,Moderate,<5 hours,Financial stability,,18-19,First year,Woman,,Multiracial,,Yes,Transfer,,Business,,Somewhat confident,15+ credits,More in-person,20-29 hours,4,3,2,3,4,3,3,4,2,3,4,3,3,4,4,2,4,3,2,4,1,2,2,1,4,5,3,3.1,3.43
44,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Work responsibilities,,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Strongly disagree,Often,Often,Sometimes,Sometimes,Sometimes,Extreme,20+ hours,Financial stability,,20-21,First year,Woman,,Pacific Islander,,No,Transfer,,Social sciences,,Somewhat confident,15+ credits,All/mostly online,20-29 hours,4,3,3,4,4,2,4,4,4,4,2,3,3,4,2,2,1,3,3,2,2,2,4,4,4,5,3,3.6,2.43
45,Agree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Not prepared for college-level work,,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Very often,Never,Sometimes,Rarely,Prefer not to say,Slight,<5 hours,Doing well in school,,20-21,First year,Woman,,South Asian,,Yes,Transfer,,Social sciences,,Very confident,6-8 credits,All/mostly in-person,0 hours,4,4,4,4,5,3,4,4,4,5,5,4,5,4,5,5,4,4,0,2,1,,1,1,5,2,0,4.1,4.57
